number,name,region,lat,lon,elev,type,status,lasterp
1806-01=,Tristan da Cunha,Atlantic-S,-37.092,-12.28,2060,Stratovolcano,Historical,D2
1702-18-,Trollagigar,Iceland-NE,64.43,-18.13,1000,Crater rows,Historical,D3
1507-071,Tromen,Argentina,-37.142,-70.03,3978,Stratovolcano,Holocene,U
1200-10-,Tseax River Cone,Canada,55.12,-128.9,609,Pyroclastic cone,Radiocarbon,D4
0203-08-,Tshibinda,Africa-C,-2.32,28.75,1460,Cinder cone,Holocene,U
0802-13=,Tsurumi,Kyushu-Japan,33.28,131.43,1584,Lava dome,Historical,D6
1505-104,"Tujle, Cerro",Chile-N,-23.83,-67.95,3550,Maar,Holocene,U
1502-081,Tulabug,Ecuador,-1.78,-78.613,3336,Scoria cone,Holocene,U
0201-25-,Tullu Moje,Ethiopia,8.158,39.13,2349,Pumice cone,Anthropology,D2
1203-06-,Tumble Buttes,US-California,40.68,-121.55,2191,Cinder cone,Holocene,Unknown
1000-059,Tundroviy,Kamchatka,52.25,157.6,739,Shield volcano,Holocene,U
1703-04=,Tungnafellsjokull,Iceland-NE,64.73,-17.92,1535,Stratovolcano,Holocene,U
1502-08=,Tungurahua,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1
1002-05-,Tunkin Depression,Russia-SE,51.5,102.5,1200,Volcanic field,Holocene,U
1507-01=,Tupungatito,Chile-C,-33.4,-69.8,6000,Stratovolcano,Historical,D1
1004-01-,Turfan,China-W,42.9,89.25,0,Cone,Historical,D6
1405-07=,Turrialba,Costa Rica,10.03,-83.77,3340,Stratovolcano,Historical,D3
0404-02-,Tutuila,Samoa-SW Pacific,-14.295,-170.7,653,Tuff cone,Holocene,U
1504-04=,Tutupaca,Peru,-17.025,-70.358,5815,Stratovolcano,Historical,D2
1505-111,"Tuzgle, Cerro",Argentina,-24.05,-66.48,5550,Stratovolcano,Holocene,Unknown
1000-55-,Tuzovsky,Kamchatka,57.32,159.97,1533,Shield volcano,Holocene,U
1203-05-,Twin Buttes,US-California,40.78,-121.6,1631,Cinder cone,Holocene,Unknown
1203-16-,Ubehebe Craters,US-California,37.02,-117.45,752,Maar,Holocene,U
1504-02=,Ubinas,Peru,-16.355,-70.903,5672,Stratovolcano,Historical,D1
1000-241,Udina,Kamchatka,55.755,160.527,2923,Stratovolcano,Holocene,U
1002-03-,Udokan Volc Field,Russia-SE,56.18,117.47,1980,Shield volcano,Radiocarbon,D7
1102-13-,Ugashik-Peulik,Alaska Peninsula,57.75,-156.37,1474,Stratovolcano,Historical,D3
1209-01-,Uinkaret Field,US-Arizona,36.38,-113.13,1555,Volcanic field,Holocene,U
1000-61-,Uka,Kamchatka,57.7,160.58,1643,Shield volcano,Holocene,U
1102-131,Ukinrek Maars,Alaska Peninsula,57.83,-156.52,91,Maar,Historical,D1
1000-35-,Uksichan,Kamchatka,56.08,158.38,1692,Shield volcano,Holocene,U
0502-12=,Ulawun,New Britain-SW Pac,-5.05,151.33,2334,Stratovolcano,Historical,D1
1101-25-,Uliaga,Aleutian Is,53.07,-169.77,888,Stratovolcano,Holocene,Unknown
1006-03-,Ulreung,Korea,37.5,130.87,984,Stratovolcano,Radiocarbon,D7
1002-07-,Ulug-Arginsky,Russia-SE,52.33,98,1800,Cinder cone,Holocene,U
0501-06=,Umboi,New Guinea-NE of,-5.589,147.875,1548,Complex volcano,Holocene,U
0205-07-,"Umm Arafieb, Jebel",Africa-N,18.17,33.83,0,Shield volcano,Holocene,Unknown
0603-23=,Ungaran,Java,-7.18,110.33,2050,Stratovolcano,Holocene,U
1801-01=,Unnamed,Atlantic-N,66,-27.75,-108,Submarine volcano,Uncertain,D4
0704-05=,Unnamed,Luzon-N of,20.33,121.75,-24,Submarine volcano,Historical,D3
1101-17-,Unnamed,Aleutian Is,52,-173.5,0,Submarine volcano,Hydrophonic,D1
1600-07=,Unnamed,W Indies,16.13,-61.28,-7,Submarine volcano,Historical,D3
1301-03-,Unnamed,Pacific-NE,31.75,-124.25,-2533,Submarine volcano,Uncertain,Unknown
0701-032,Unnamed,Mindanao-Philippines,7.443,126.073,1300,Unknown,Hot Springs,U
1102-051,Unnamed,Alaska Peninsula,55.93,-160,1555,Cinder cone,Holocene,U
1000-086,Unnamed,Kamchatka,52.88,158.3,700,Shield volcano,Holocene,U
1805-03=,Unnamed,Atlantic-C,-0.58,-15.83,-1528,Submarine volcano,Historical,D3
0201-221,Unnamed,Ethiopia,8.62,38.95,1800,Fissure vent,Holocene,U
1805-01=,Unnamed,Atlantic-C,7,-21.83,-1415,Submarine volcano,Uncertain,Unknown
0104-04-,Unnamed,Georgia,42.45,44.25,3750,Cinder cone,Holocene,U
0801-04=,Unnamed,Taiwan-N of,25.42,122.33,-100,Submarine volcano,Historical,D3
0404-00-,Unnamed,Samoa-SW Pacific,-14.23,-169.07,-650,Submarine volcano,Uncertain,Unknown
0402-04=,Unnamed,Kermadec Is,-29.18,-177.87,-560,Submarine volcano,Historical,D3
1000-058,Unnamed,Kamchatka,52.33,157.33,638,Pyroclastic cone,Holocene,U
1000-085,Unnamed,Kamchatka,52.92,158.52,450,Shield volcano,Holocene,U
1505-041,Unnamed,Chile-N,-20.83,-68.63,4200,Pumice cone,Holocene,Unknown
0104-05-,Unnamed,Georgia,41.55,43.6,3400,Lava cone,Holocene,U
1805-02=,Unnamed,Atlantic-C,4.2,-21.45,-2900,Submarine volcano,Uncertain,Unknown
1805-04=,Unnamed,Atlantic-C,-3.5,-24.5,-5300,Submarine volcano,Uncertain,Unknown
0201-252,Unnamed,Ethiopia,7.95,38.93,1889,Fissure vent,Holocene,U
0201-251,Unnamed,Ethiopia,8.07,39.07,1800,Fissure vent,Holocene,U
1900-016,Unnamed,Antarctica,-76.83,163,-500,Submarine volcano,Holocene,Unknown
0201-201,Unnamed,Ethiopia,8.7,39.63,1300,Pyroclastic cone,Holocene,U
1900-014,Unnamed,Antarctica,-73.45,164.58,2987,Scoria cone,Holocene,Unknown
0301-15-,Unnamed,Arabia-S,12.25,45,0,Submarine volcano,Uncertain,Unknown
0305-01=,Unnamed,Indian O-E,11.75,80.75,0,Submarine volcano,Uncertain,Unknown
1102-132,Unnamed,Alaska Peninsula,57.87,-155.42,300,Lava dome,Holocene,U
1000-021,Unnamed,Kamchatka,51.6,156.55,298,Cinder cone,Holocene,U
0804-136,Unnamed,Mariana Is-C Pacific,20.3,143.2,0,Submarine volcano,Uncertain,Unknown
0507-08-,Unnamed,Vanuatu-SW Pacific,-16.992,168.592,216,Stratovolcano,Holocene,Unknown
0900-061,Unnamed,Kuril Is,45.03,147.208,-930,Submarine volcano,Uncertain,Unknown
0900-13-,Unnamed,Kuril Is,46.1,150.5,-100,Submarine volcano,Uncertain,Unknown
1000-081,Unnamed,Kamchatka,52.57,157.02,610,Cinder cone,Holocene,U
0300-02-,Unnamed,Syria,36.67,37,0,Unknown,Historical,D6
0300-03-,Unnamed,Syria,33.308,36.925,945,Volcanic field,Holocene,U
0801-011,Unnamed,Taiwan-E of,19.17,132.25,-10,Submarine volcano,Uncertain,Unknown
0300-06-,Unnamed,Syria,32.658,36.425,1436,Volcanic field,Holocene,U
0801-03=,Unnamed,Taiwan-E of,24,121.83,0,Submarine volcano,Historical,D3
0302-04-,Unnamed,Iran,28.17,60.67,0,Volcanic field,Holocene,Unknown
1000-101,Unnamed,Kamchatka,53.63,158.1,200,Cinder cone,Holocene,U
0500-03-,Unnamed,Admiralty Is-SW Paci,-3.03,147.78,-1300,Submarine volcano,Hydrophonic,D1
0403-01=,Unnamed,Tonga-SW Pacific,-21.38,-175.65,-500,Submarine volcano,Historical,D2
0300-04-,Unnamed,Syria,33.15,36.258,1197,Volcanic field,Holocene,U
0502-001,Unnamed,New Britain-SW Pac,-5.2,148.57,0,Submarine volcano,Uncertain,Unknown
0900-23=,Unnamed,Kuril Is,48.08,153.33,-150,Submarine volcano,Historical,D2
1801-02=,Unnamed,Atlantic-N,49,-34.5,-1650,Submarine volcano,Historical,D3
1900-051,Unnamed,Antarctica,-56.25,-72.17,0,Submarine volcano,Uncertain,Unknown
0403-03=,Unnamed,Tonga-SW Pacific,-20.85,-175.53,-13,Submarine volcano,Historical,D1
0801-01=,Unnamed,Taiwan-E of,20.93,134.75,-6000,Submarine volcano,Uncertain,Unknown
0801-02=,Unnamed,Taiwan-E of,21.83,121.18,-115,Submarine volcano,Historical,D3
1303-01-,Unnamed,Pacific-E,9.82,-104.3,-2500,Submarine volcano,Historical,D1
0505-061,Unnamed,Solomon Is-SW Pacifi,-8.92,158.03,-240,Submarine volcanoes,Holocene,U
0508-03-,Unnamed,SW Pacific,-25.78,168.63,-2400,Submarine volcano,Hydrophonic,D1
1304-02-,Unnamed,Pacific-S,-53.9,-140.3,-1000,Submarine volcano,Uncertain,Unknown
1304-03-,Unnamed,Pacific-S,-55.97,-143.17,0,Submarine volcano,Uncertain,Unknown
1000-43-,Unnamed,Kamchatka,56.82,158.95,1185,Shield volcano,Holocene,U
0607-05=,Unnamed,Sangihe Is-Indonesia,3.97,124.17,-5000,Submarine volcano,Uncertain,Unknown
0804-135,Unnamed,Mariana Is-C Pacific,21,142.9,0,Submarine volcano,Uncertain,Unknown
0804-093,Unnamed,Volcano Is-Japan,26.13,144.48,-3200,Submarine volcano,Uncertain,Unknown
1401-008,Unnamed,Mexico,28,-115,0,Submarine volcano,Uncertain,Unknown
1302-09-,Unnamed,Hawaiian Is,23.58,-163.83,-4000,Submarine volcano,Historical,D2
1802-081,Unnamed,Azores,37.78,-25.67,350,Pyroclastic cone,Historical,D5
1801-03=,Unnamed,Atlantic-N,39.95,-25.83,-2835,Submarine volcano,Uncertain,Unknown
1801-04=,Unnamed,Atlantic-N,38.75,-38.08,-4200,Submarine volcano,Historical,D3
1707-01-,Unnamed,Arctic Ocean,88.27,-65.6,-1500,Submarine volcano,Historical,D2
1506-04=,Unnamed,Chile-Is,-33.62,-76.83,-642,Submarine volcano,Uncertain,Unknown
0201-311,Unnamed,Ethiopia,5.65,37.67,1200,Cinder cone,Holocene,U
1303-061,Unnamed,Pacific-E,-17.436,-113.206,-2566,Submarine volcano,Historical,D1
1302-08-,Unnamed,Hawaiian Is,21.75,-158.75,-3000,Submarine volcano,Uncertain,Unknown
1000-263,Unnamed,Kamchatka,56.53,160.87,200,Cinder cone,Holocene,U
1000-232,Unnamed,Kamchatka,55.92,161.75,0,Cinder cone,Holocene,Unknown
0502-131,Unnamed,New Britain-SW Pac,-4.75,150.85,0,Submarine volcano,Uncertain,Unknown
1004-04-,Unnamed,China-W,35.85,91.7,5400,Volcanic field,Holocene,U
0202-162,Unnamed,Africa-E,-8.63,33.57,0,Pyroclastic cone,Holocene,U
0900-16-,Unnamed,Kuril Is,46.47,151.28,-502,Submarine volcano,Hydrophonic,D1
0501-04=,Unnamed,New Guinea-NE of,-4.311,146.256,-2000,Submarine volcano,Uncertain,Unknown
1506-03=,Unnamed,Chile-Is,-33.622,-78.78,0,Submarine volcano,Historical,D3
0403-02=,Unnamed,Tonga-SW Pacific,-21.07,-175.33,0,Not Volcanic,Historical,D2
0802-10=,Unzen,Kyushu-Japan,32.75,130.3,1500,Complex volcano,Historical,D1
0404-03-,Upolu,Samoa-SW Pacific,-13.935,-171.72,1100,Shield volcano,Holocene,U
0900-191,Urataman,Kuril Is,47.12,152.23,678,Somma volcano,Holocene,U
0900-21=,Ushishur,Kuril Is,47.52,152.8,401,Caldera,Historical,D3
1000-261,Ushkovsky,Kamchatka,56.105,160.47,3943,Compound volcano,Historical,D3
0805-03=,Usu,Hokkaido-Japan,42.53,140.83,731,Stratovolcano,Historical,D1
1403-081,Usulutan,El Salvador,13.419,-88.471,1449,Stratovolcano,Holocene,U
1403-16-,Utila Island,Honduras,16.1,-86.9,90,Pyroclastic cone,Holocene,U
1505-075,Uturuncu,Bolivia,-22.27,-67.22,6008,Stratovolcano,Holocene,U
1000-17=,Uzon,Kamchatka,54.5,159.97,1617,Caldera,Radiocarbon,D7
0302-07-,Vakak Group,Afghanistan,34.25,67.97,3190,Volcanic field,Holocene,U
1210-03-,Valles Caldera,US-New Mexico,35.87,-106.57,3430,Caldera,Pleistocene-Fumarol,Q
1702-06=,Vatnafjoll,Iceland-S,63.92,-19.67,1235,Fissure vent,Tephrochronology,D6
1000-102,Veer,Kamchatka,53.63,158.42,350,Cinder cone,Tephrochronology,D6
1102-07-,Veniaminof,Alaska Peninsula,56.17,-159.38,2507,Stratovolcano,Historical,D1
1000-44-,Verkhovoy,Kamchatka,56.52,159.53,1400,Shield volcano,Holocene,U
0900-37-,Vernadskii Ridge,Kuril Is,50.55,155.97,1183,Cinder cone,Holocene,U
1702-01=,Vestmannaeyjar,Iceland-S,63.43,-20.28,279,Submarine volcano,Historical,D1
0101-02=,Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2
0705-07-,Veteran,SE Asia,9.83,109.05,0,Submarine volcano,Fumarolic,U
0503-03=,Victory,New Guinea,-9.2,149.07,1925,Stratovolcano,Historical,D2
1508-061,"Viedma, Volcan",Argentina,-49.358,-73.28,1300,Subglacial volcano,Historical,D1
1507-12=,Villarrica,Chile-C,-39.42,-71.93,2847,Stratovolcano,Historical,D1
1000-083,Vilyuchik,Kamchatka,52.68,158.3,2173,Stratovolcano,Tephrochronology,D7
0203-05-,Visoke,Africa-C,-1.47,29.492,3711,Stratovolcano,Historical,D2
1000-063,Visokiy,Kamchatka,52.43,157.93,1234,Stratovolcano,Holocene,U
1508-024,"Volcanico, Cerro",Argentina,-42.07,-71.65,0,Cinder cone,Holocene,U
0205-02=,"Voon, Tarso",Africa-N,20.92,17.28,3100,Stratovolcano,Fumarolic,U
1000-72-,Voyampolsky,Kamchatka,58.37,160.62,1225,Shield volcano,Holocene,U
1101-27-,Vsevidof,Aleutian Is,53.13,-168.68,2149,Stratovolcano,Historical,D3
0101-05=,Vulcano,Italy,38.404,14.962,500,Stratovolcano,Historical,D3
0101-003,Vulsini,Italy,42.6,11.93,800,Caldera,Historical,D7
1900-024,Waesche,Antarctica,-77.17,-126.88,3292,Shield volcano,Holocene,Unknown
0503-04=,Waiowa,New Guinea,-9.57,149.075,640,Pyroclastic cone,Historical,D2
0404-05-,Wallis Islands,SW Pacific,-13.3,-176.17,143,Shield volcano,Holocene,U
0502-09=,Walo,New Britain-SW Pac,-5.53,150.9,15,Hydrothermal field,Hot Springs,Unknown
1204-03-,Wapi Lava Field,US-Idaho,42.88,-113.22,1604,Shield volcano,Radiocarbon,D7
0803-071,Washiba-Kumonotaira,Honshu-Japan,36.4,137.5,2924,Shield volcano,Tephrochronology,D7
1202-05-,Washington,US-Oregon,44.332,-121.837,2376,Shield volcano,Radiocarbon,D6
0603-08=,Wayang-Windu,Java,-7.208,107.63,2182,Lava dome,Fumarolic,U
1200-15-,Wells Gray-Clearwater,Canada,52.33,-120.57,2015,Cinder cone,Dendrochronology,D5
1201-06-,West Crater,US-Washington,45.88,-122.08,1329,Volcanic field,Radiocarbon,D7
0100-01-,West Eifel Volc Field,Germany,50.17,6.85,600,Maar,Radiocarbon,D7
1101-34-,Westdahl,Aleutian Is,54.52,-164.65,1654,Stratovolcano,Historical,D1
0401-041,Whale Island,New Zealand,-37.858,176.98,348,Complex volcano,Pleistocene-Fumarol,Q
0401-011,Whangarei,New Zealand,-35.75,174.27,397,Cinder cone,Holocene,Unknown
0401-04=,White Island,New Zealand,-37.52,177.18,321,Stratovolcano,Historical,D1
0603-27=,Wilis,Java,-7.808,111.758,2563,Stratovolcano,Holocene,U
1503-02=,"Wolf, Volcan",Galapagos,0.02,-91.35,1710,Shield volcano,Historical,D1
1105-02-,Wrangell,Alaska-E,62,-144.02,4317,Shield volcano,Historical,D2
1005-03-,Wudalianchi,China-E,48.72,126.12,597,Volcanic field,Historical,D4
0605-04=,Wurlali,Banda Sea,-7.125,128.675,868,Stratovolcano,Historical,D3
1006-01-,Xianjindao,Korea,41.33,128,0,Unknown,Historical,D5
0803-07=,Yake-dake,Honshu-Japan,36.22,137.58,2455,Stratovolcano,Historical,D1
0102-051,Yali,Greece,36.63,27.1,176,Lava dome,Holocene,U
0201-151,Yangudi,Ethiopia,10.58,41.042,1383,Complex volcano,Holocene,U
1102-10-,Yantarni,Alaska Peninsula,57.02,-157.18,1336,Stratovolcano,Tephrochronology,D7
1508-051,"Yanteles, Cerro",Chile-S,-43.42,-72.83,2050,Stratovolcano,Historical,D3
0301-08-,"Yar, Jabal",Arabia-W,17.05,42.83,305,Volcanic field,Historical,D3
0507-10=,Yasur,Vanuatu-SW Pacific,-19.52,169.425,361,Stratovolcano,Historical,D1
1508-022,Yate,Chile-S,-41.755,-72.396,2187,Stratovolcano,Holocene,U
1406-02-,"Yeguada, La",Panama,8.523,-80.91,1297,Stratovolcano,Radiocarbon,D5
0503-002,Yelia,New Guinea,-7.05,145.858,3384,Stratovolcano,Holocene,Unknown
1205-01-,Yellowstone,US-Wyoming,44.43,-110.67,2805,Caldera,Tephrochronology,D7
0604-28=,Yersey,Lesser Sunda Is,-7.53,123.95,-3800,Submarine volcano,Uncertain,Unknown
1403-15-,"Yojoa, Lake",Honduras,14.98,-87.98,1090,Volcanic field,Holocene,U
0501-041,Yomba,New Guinea-NE of,-4.92,146.75,0,Unknown,Uncertain,Unknown
0805-032,Yotei,Hokkaido-Japan,42.83,140.82,1893,Stratovolcano,Radiocarbon,D7
1900-011,Young Island,Antarctica,-66.42,162.45,1340,Stratovolcano,Fumarolic,U
1504-05-,Yucamane,Peru,-17.18,-70.2,5550,Stratovolcano,Historical,D4
1505-061,"Yumia, Cerro",Bolivia,-21.5,-67.5,4050,Cone,Holocene,Unknown
1101-21-,Yunaska,Aleutian Is,52.63,-170.63,550,Shield volcano,Historical,D2
1403-14-,"Zacate Grande, Isla",Honduras,13.33,-87.63,600,Stratovolcano,Holocene,U
0803-19=,Zao,Honshu-Japan,38.15,140.45,1841,Complex volcano,Historical,D2
1000-48-,Zaozerny,Kamchatka,56.88,159.95,1349,Shield volcano,Holocene,U
1404-111,Zapatera,Nicaragua,11.73,-85.82,629,Shield volcano,Holocene,U
1000-262,Zarechny,Kamchatka,56.38,160.83,760,Somma volcano,Holocene,U
1000-121,Zavaritsky,Kamchatka,53.905,158.385,1567,Stratovolcano,Radiocarbon,D7
0900-18=,Zavaritzki Caldera,Kuril Is,46.925,151.95,624,Caldera,Historical,D2
1900-13=,Zavodovski,Antarctica,-56.3,-27.57,551,Stratovolcano,Historical,D3
0801-05=,Zengyu,Taiwan-N of,26.18,122.458,-418,Submarine volcano,Historical,D2
1000-04=,Zheltovsky,Kamchatka,51.57,157.323,1953,Stratovolcano,Historical,D1
1000-12=,Zhupanovsky,Kamchatka,53.59,159.147,2958,Compound volcano,Historical,D2
1000-242,Zimina,Kamchatka,55.862,160.603,3081,Stratovolcano,Holocene,U
0201-02=,"Zubair, Jebel",Red Sea,15.05,42.18,191,Shield volcano,Historical,D3
0201-021,Zukur,Red Sea,14.02,42.75,624,Shield volcano,Holocene,U
1210-02-,Zuni-Bandera,US-New Mexico,34.8,-108,2550,Volcanic field,Anthropology,D7
